original_title,genres,overview,popularity,release_date,vote_average,vote_count,normalized_title
Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']","Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",83.292,2010-03-03,6.635,13628,aliceinwonderland
The Lego Movie,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']","An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",41.708,2014-02-06,7.4,7610,thelegomovie
Madea Goes to Jail,"['Comedy', 'Crime', 'Drama']","After a high-speed car chase, Madea winds up behind bars because her quick temper gets the best of her. Meanwhile, Assistant District Attorney Josh Hardaway lands a case that's too personal to handle: that of a young prostitute and former drug addict named Candace. When Candace winds up in jail, Madea takes the young woman under her protective wing.",14.066,2009-02-16,6.6,182,madeagoestojail
Scary Stories to Tell in the Dark,"['Horror', 'Thriller']","Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control.",27.992,2019-08-08,6.499,2558,scarystoriestotellinthedark
The Firm,"['Drama', 'Mystery', 'Thriller']","Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",44.923,1993-06-30,6.739,1923,thefirm
The Bourne Ultimatum,"['Action', 'Drama', 'Mystery', 'Thriller']","Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",35.044,2007-08-03,7.429,7428,thebourneultimatum
Godzilla,"['Action', 'Drama', 'Science Fiction']","Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",64.86,2014-05-14,6.334,8888,godzilla
Scooby-Doo,"['Mystery', 'Adventure', 'Comedy']","When the Mystery Inc. gang is invited to Spooky Island, a popular amusement park, they soon discover that the attractions aren't the only things that are spooky. Strange things are happening, and it's up to Scooby, Shaggy, Fred, Daphne, and Velma to uncover the truth behind the mysterious happenings.",42.714,2002-06-14,6.087,4292,scoobydoo
The Notebook,"['Romance', 'Drama']","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",59.565,2004-06-25,7.9,11177,thenotebook
Minority Report,"['Science Fiction', 'Action', 'Thriller']","John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",23.785,2002-06-20,7.349,8438,minorityreport
Unknown,"['Action', 'Mystery', 'Thriller']","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",21.611,2011-02-16,6.666,3743,unknown
Unseen + Untold: National Lampoon's Animal House,['Documentary'],"On 25th anniversary of one of the greatest comedies, the filmmakers and casts tell about their work on the cult classic: Animal House",0.539,2003-08-24,5.0,2,unseen+untoldnationallampoon'sanimalhouse
High School Musical 3: Senior Year,"['Comedy', 'Romance', 'Drama', 'Family', 'Music']","It's almost graduation day for high school seniors Troy, Gabriella, Sharpay, Chad, Ryan and Taylor — and the thought of heading off in separate directions after leaving East High has these Wildcats thinking they need to do something they'll remember forever. Together with the rest of the Wildcats, they stage a spring musical reflecting their hopes and fears about the future and their unforgettable experiences growing up together. Will their final show break them apart or bring them together for the greatest moment in Wildcat history?",21.401,2008-10-11,6.6,3388,highschoolmusical3senioryear
Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",91.436,2005-07-13,7.05,14782,charlieandthechocolatefactory
Wayne's World,"['Comedy', 'Music']","The adventures of two amiably aimless metal-head friends, Wayne and Garth. From Wayne's basement, the pair broadcast a talk-show called ""Wayne's World"" on local public access television. The show comes to the attention of a sleazy network executive who wants to produce a big-budget version of ""Wayne's World""—and he also wants Wayne's girlfriend, a rock singer named Cassandra. Wayne and Garth have to battle the executive not only to save their show, but also Cassandra.",13.095,1992-02-14,6.702,2144,wayne'sworld
Planes,"['Animation', 'Family', 'Adventure', 'Comedy']","Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends, Dusty sets off to make his dreams come true.",34.962,2013-08-09,5.899,1633,planes
Chicken Run,"['Animation', 'Comedy', 'Family']","The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",39.792,2000-06-23,6.811,4875,chickenrun
Coraline,"['Animation', 'Family', 'Fantasy']","A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",139.697,2009-02-05,7.9,7566,coraline
Watchmen,"['Mystery', 'Action', 'Science Fiction']","In a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close by a government crackdown. But after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so they uncover a sinister plot that puts all of humanity in grave danger.",65.657,2009-03-04,7.336,8902,watchmen
Manchester by the Sea,['Drama'],"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",50.247,2016-11-18,7.548,5696,manchesterbythesea
Candyman,"['Horror', 'Mystery', 'Thriller']","Anthony and his partner move into a loft in the now gentrified Cabrini-Green. After a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence.",19.144,2021-08-25,6.041,1495,candyman
Earth,['Documentary'],"An epic story of adventure, starring some of the most magnificent and courageous creatures alive, awaits you in EARTH. Disneynature brings you a remarkable story of three animal families on a journey across our planet – polar bears, elephants and humpback whales.",9.335,2007-10-10,7.61,342,earth
Super Troopers 2,"['Comedy', 'Crime', 'Mystery']","When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.",24.047,2018-04-19,5.869,446,supertroopers2
The Secret World of Arrietty,"['Fantasy', 'Animation', 'Family']","14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",28.556,2010-07-16,7.656,2730,thesecretworldofarrietty
